,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
03/08/2022 00:00:05,2.272725,4.54545,3.40908766,37,37,37,1197.28455,1197.28455,2.44888,0.8205013,0.00125943753,99.77371,40.34864,3.17877579,4.699497,35,43.5876732
03/08/2022 00:00:35,4.66346169,6.25,5.4567337,35,37,38,1197.28467,1197.28467,2.48332262,0.842880666,0.00129702117,99.77372,40.43807,3.18582153,4.69245148,35,43.5876732
03/08/2022 00:01:05,2.30768919,4.58042049,3.44405174,36,36,38,1197.2843,1197.2843,2.50171185,0.8606827,0.00126206421,99.77369,40.5721474,3.19638443,4.68188858,35,43.5876732
03/08/2022 00:01:36,4.724705,4.699898,4.71230125,37,37,37,1197.28491,1197.28491,2.36641526,0.766674042,0.00148015411,99.77374,40.40495,3.18321228,4.69506073,36,43.5876732
03/08/2022 00:02:06,4.76310253,7.080853,5.921978,37,37,37,1197.28455,1197.28455,2.40501118,0.7939696,0.00163274026,99.7737045,40.5239677,3.19258881,4.685684,36,43.5876846
03/08/2022 00:02:36,6.25,3.90625,5.078125,36,36,38,1197.28516,1197.28516,2.41084361,0.787526846,0.00144500344,99.7737656,40.39144,3.182148,4.696125,37,43.5876846
03/08/2022 00:03:06,0.7692337,6.92307949,3.8461566,31,34,39,1995.4834,1197.29,2.38528752,0.756629944,0.001456312,99.77417,40.27528,3.17299652,4.70527649,37,43.5876846
03/08/2022 00:03:36,3.125,3.14980149,3.13739777,34,36,37,1197.28455,1197.28455,2.24709988,0.6610735,0.00107891916,99.77371,40.2684555,3.17245865,4.70581436,38,43.5876846
03/08/2022 00:04:07,5.384612,5.384612,5.384612,30,31,38,1197.2843,1197.2843,2.46440315,0.827961266,0.0013893235,99.7737,40.2791061,3.173298,4.704975,38,43.5876846
03/08/2022 00:04:37,3.076923,3.8461566,3.46153975,37,37,38,1197.28528,1197.28528,2.37506413,0.7548588,0.001427295,99.7737656,40.2280235,3.16927338,4.70899963,38,43.5876846
03/08/2022 00:05:07,3.90625,4.66346169,4.2848587,37,37,37,1197.28467,1197.28467,2.44821048,0.801375151,0.00143440592,99.77373,40.218338,3.16851044,4.70976257,39,43.5876846
03/08/2022 00:05:37,0.78125,3.90625,2.34375,36,36,36,1197.285,1197.285,2.43108964,0.8033746,0.00111391186,99.77375,40.1938362,3.1665802,4.711693,39,43.5876961
03/08/2022 00:06:08,3.076923,6.153846,4.615384,37,37,37,1197.28455,1197.28455,2.41362453,0.7971444,0.00126206514,99.77371,40.20415,3.16739273,4.71088028,39,43.5876961
03/08/2022 00:06:38,5.505955,3.15020084,4.32807827,36,36,38,1197.28479,1197.28479,2.444053,0.8169071,0.0010986703,99.773735,40.19776,3.16688919,4.711384,39,43.5876961
03/08/2022 00:07:08,3.90625,5.46875,4.6875,37,37,38,1197.28455,1197.28455,2.4689126,0.8370556,0.00125129544,99.77371,40.32443,3.17686844,4.70140457,40,43.5876961
03/08/2022 00:07:38,0.78125,0.78125,0.78125,36,36,37,1197.2843,1197.2843,2.37080884,0.746626854,0.00144967192,99.77369,40.32002,3.1765213,4.70175171,40,43.5879059
03/08/2022 00:08:08,6.153846,6.92307949,6.538457,37,37,37,1197.285,1197.285,2.528737,0.8962767,0.0012533227,99.77375,40.3581276,3.17952347,4.69874954,40,43.5879059
03/08/2022 00:08:38,3.78787518,5.350375,4.569125,36,36,37,1197.28442,1197.28442,2.519382,0.8721788,0.00141951314,99.7737045,40.3072357,3.17551422,4.702759,41,43.5879059
03/08/2022 00:09:09,3.835225,5.33799553,4.586607,35,35,37,1197.28467,1197.28467,2.45636058,0.814485252,0.00157808815,99.77373,40.2945023,3.174511,4.703762,41,43.5879059
03/08/2022 00:09:39,5.44471169,8.521634,6.983173,37,37,37,1197.28467,1197.28467,2.56164074,0.8947258,0.00147320388,99.77372,40.26448,3.17214584,4.706127,41,43.5879059
03/08/2022 00:10:09,6.153846,5.384612,5.769229,31,32,38,1197.28479,1197.28479,2.491324,0.8500048,0.00138709333,99.773735,40.2812843,3.17346954,4.70480347,41,43.5879059
03/08/2022 00:10:40,2.30768919,3.8461566,3.076923,30,32,37,1197.23962,1197.23962,2.56490159,0.91048795,0.00142733252,99.7699661,40.2506371,3.17105484,4.707218,41,43.5879059
03/08/2022 00:11:10,3.03030014,6.178975,4.60463762,36,36,37,1197.28479,1197.28479,2.410651,0.7770178,0.0014377964,99.773735,40.273777,3.17287827,4.70539474,41,43.5879059
