,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
03/07/2022 00:00:24,4.6754837,6.084281,5.37987947,36,36,36,1197.28491,1197.28491,2.336928,0.729682446,0.00131232361,99.77374,40.15636,3.16362762,4.71464539,34,43.5847855
03/07/2022 00:00:55,5.46875,7.03125,6.25,31,33,39,2494.344,1197.285,2.43448353,0.8062555,0.00129704026,99.77376,40.2362022,3.169918,4.708355,35,43.5847855
03/07/2022 00:01:25,2.34375,4.699898,3.521824,32,35,36,1197.28418,1197.28418,2.30345964,0.6881479,0.00148011767,99.77368,40.2578,3.17161942,4.70665359,35,43.5847855
03/07/2022 00:01:55,3.08893919,5.409038,4.24898863,36,36,36,1197.28479,1197.28479,2.37440443,0.747362733,0.00115697808,99.773735,40.2294235,3.169384,4.708889,36,43.5847855
03/07/2022 00:02:25,1.5625,6.995189,4.278845,35,36,37,1197.28467,1197.28467,2.47605371,0.830732644,0.00148015411,99.77372,40.30709,3.17550278,4.70277,36,43.5848045
03/07/2022 00:02:55,1.58730149,6.177884,3.882593,36,36,36,1197.28491,1197.28491,2.37598729,0.7477303,0.00145271781,99.77374,40.19829,3.16693115,4.711342,37,43.5848045
03/07/2022 00:03:26,6.153846,10.122097,8.137971,37,37,38,1197.28479,1197.28479,3.06439185,1.40794146,0.001067659,99.77373,40.1684151,3.16457748,4.71369553,37,43.5848045
03/07/2022 00:03:56,7.03125,7.10685253,7.06905127,36,36,37,1197.28491,1197.28491,2.37074018,0.7615959,0.00126154942,99.77374,40.1085663,3.15986252,4.71841049,37,43.5848045
03/07/2022 00:04:26,3.88221145,3.88221145,3.88221741,36,36,37,1197.28455,1197.28455,2.50717139,0.8574521,0.001311322,99.77372,40.1080856,3.15982437,4.71844864,38,43.5848045
03/07/2022 00:04:57,3.00802,6.72905445,4.868537,31,34,38,1197.284,1197.284,2.40087461,0.763611,0.0012442451,99.77367,40.0470772,3.15501785,4.723255,38,43.5848045
03/07/2022 00:05:27,2.35614777,5.505955,3.93105149,36,36,36,1197.28467,1197.28467,2.38960981,0.769455731,0.00129707553,99.77372,40.0913773,3.1585083,4.71976471,38,43.5848045
03/07/2022 00:05:57,3.076923,7.69230747,5.384612,32,32,37,1197.2843,1197.2843,2.64187527,0.8586095,0.001292091,99.77369,39.4663658,3.10926819,4.769005,39,43.5848045
03/07/2022 00:06:28,4.6875,3.93145084,4.30947542,36,36,36,1197.28455,1197.28455,2.5063467,0.871740162,0.00111814577,99.77371,39.3794556,3.10242081,4.775852,39,43.5848045
03/07/2022 00:06:58,3.82283926,4.60373163,4.21328545,31,33,37,1197.28442,1197.28442,2.743008,0.8902422,0.00130710285,99.7737045,39.52704,3.114048,4.764225,39,43.5848045
03/07/2022 00:07:28,3.8461566,6.92307949,5.384618,36,36,36,1197.28442,1197.28442,2.495832,0.8476793,0.001577539,99.7737045,39.6377258,3.1227684,4.75550461,39,43.5848045
03/07/2022 00:07:58,5.4567337,5.432689,5.44471169,36,36,36,1197.28467,1197.28467,2.85737324,1.000223,0.00164796622,99.77372,39.6071739,3.12036133,4.75791168,40,43.5848045
03/07/2022 00:08:28,1.53846145,5.384612,3.46153975,32,33,37,1197.28442,1197.28442,2.3787446,0.755504847,0.00128982717,99.7737,39.6228638,3.12159729,4.75667572,40,43.5848045
03/07/2022 00:08:59,2.34375,4.6875,3.515625,35,36,37,1197.28467,1197.28467,2.67548561,0.8290229,0.00128720852,99.77372,39.5881424,3.11886215,4.759411,40,43.5848045
03/07/2022 00:09:29,1.52680874,3.076923,2.30186582,31,33,37,1197.28455,1197.28455,2.48919272,0.85421586,0.00142586941,99.77371,39.5919228,3.1191597,4.75911331,41,43.5848045
03/07/2022 00:09:59,8.4615345,8.4615345,8.461541,33,36,37,1197.28467,1197.28467,2.65646982,0.814238667,0.00124703487,99.77373,39.6109047,3.120655,4.757618,41,43.5848045
03/07/2022 00:10:30,3.90625,3.91864777,3.912449,35,36,36,1197.285,1197.285,2.431683,0.804096,0.00128082035,99.77376,39.6516228,3.12386322,4.75441,41,43.5848045
03/07/2022 00:11:00,7.8125,10.15625,8.984375,32,34,38,1197.28455,1197.28455,3.93183327,2.072714,0.00173951965,99.77372,39.55982,3.11663055,4.76164246,41,43.5848045
03/07/2022 00:11:30,3.93145084,7.10685253,5.51915169,36,36,36,1197.28467,1197.28467,2.50662732,0.862140059,0.00112921454,99.77372,39.6240234,3.12168884,4.756584,41,43.5848045
03/07/2022 00:12:00,11.3986015,11.4820061,11.4403009,36,36,36,1197.28442,1197.28442,3.87419748,2.1625216,0.00121330377,99.7737,39.6885719,3.12677383,4.751499,41,43.584816
03/07/2022 00:12:31,6.25,3.13739777,4.693699,36,36,36,1197.28467,1197.28467,2.47505569,0.8337557,0.00130828156,99.77372,39.53096,3.114357,4.763916,42,43.5848274
03/07/2022 00:13:01,6.153846,5.349648,5.751747,37,37,38,1197.28479,1197.28479,2.6048553,0.945453763,0.001445485,99.77373,39.53028,3.11430359,4.76396942,42,43.5848274
03/07/2022 00:13:31,4.639423,5.433452,5.03643751,36,36,37,1197.28455,1197.28455,2.46956539,0.8346108,0.001442196,99.77371,39.5318336,3.11442566,4.76384735,42,43.5848274
03/07/2022 00:14:02,5.420673,7.862103,6.641388,30,32,37,1197.28455,1197.28455,2.504665,0.8652129,0.00128175179,99.77371,39.4562,3.108467,4.769806,42,43.5848274
