,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
02/27/2022 00:00:15,2.34375,6.25,4.296875,42,42,43,1197.285,1197.285,2.518918,0.8622845,0.00155647,99.77375,52.99771,4.17530441,3.7029686,36,43.46126
02/27/2022 00:01:15,1.5625,3.8589,2.7107,36,36,40,1197.2843,1197.2843,2.60661554,0.933583736,0.001457102,99.77369,53.0306854,4.177902,3.70037079,36,43.46126
02/27/2022 00:02:15,1.53846145,3.82283926,2.68065333,39,39,40,1197.28381,1197.28381,2.37863755,0.751829445,0.001290462,99.77365,53.0407562,4.17869568,3.69957733,37,43.46128
02/27/2022 00:03:16,3.8461566,7.69230747,5.769229,38,38,38,1197.28638,1197.28638,2.56027555,0.8862042,0.001292128,99.7738647,52.9071655,4.168171,3.710102,38,43.46128
02/27/2022 00:04:16,5.46875,7.7524066,6.61057854,38,38,39,1197.28455,1197.28455,2.45122433,0.79419893,0.001282037,99.77372,52.9521942,4.1717186,3.70655441,39,43.46128
02/27/2022 00:05:16,3.90625,6.15835762,5.032301,39,39,39,1197.28516,1197.28516,2.57674217,0.9171675,0.001449597,99.7737656,52.88988,4.166809,3.711464,39,43.46128
02/27/2022 00:06:16,3.125,7.03125,5.078125,33,33,38,1197.28467,1197.28467,2.629578,0.95286,0.001236034,99.77372,52.8538551,4.163971,3.714302,41,43.46128
02/27/2022 00:07:16,1.5625,3.13739777,2.349949,32,33,38,1197.28491,1197.28491,2.24981713,0.645529747,0.00109867,99.77374,52.88562,4.16647339,3.71179962,41,43.5083
02/27/2022 00:08:16,5.384612,8.4615345,6.923074,38,38,38,1197.2843,1197.2843,2.600227,0.966592431,0.001412334,99.77369,52.92329,4.169441,3.70883179,41,43.5083
02/27/2022 00:09:16,5.384612,6.88811541,6.136358,33,34,37,1197.28455,1197.28455,2.57258368,0.9145044,0.001262028,99.77371,52.88993,4.166813,3.71146,42,43.5083
02/27/2022 00:10:15,3.125,3.125,3.125,34,33,37,1197.28394,1197.28394,2.491799,0.8483719,0.001295573,99.77366,52.4025269,4.128414,3.74985886,43,43.5083
02/27/2022 00:11:15,3.73134613,5.223882,4.4776144,35,36,37,1197.28479,1197.28479,2.5346427,0.8769829,0.001337983,99.773735,52.3661652,4.12554932,3.75272369,43,43.5083122
02/27/2022 00:12:15,4.615384,4.615384,4.615384,36,36,37,1197.28442,1197.28442,2.37096334,0.75176996,0.001410957,99.7737,52.4189873,4.129711,3.74856186,43,43.5083237
02/27/2022 00:13:15,2.3317337,4.689753,3.51074338,33,33,37,1197.28467,1197.28467,2.48417974,0.8718506,0.001461891,99.77372,52.4256248,4.130234,3.74803925,43,43.5083237
02/27/2022 00:14:15,3.125,2.34375,2.734375,33,32,37,1197.2843,1197.2843,2.643326,0.996780157,0.001251163,99.77369,52.53268,4.138668,3.739605,43,43.5083237
02/27/2022 00:15:14,2.34375,3.90625,3.125,36,36,37,1197.2843,1197.2843,2.47930384,0.8297794,0.001318698,99.77369,52.48591,4.134983,3.74329,44,43.5083237
02/27/2022 00:16:14,3.90625,5.54435253,4.72530127,37,37,37,1197.285,1197.285,2.29498243,0.6909372,0.001767493,99.77375,52.4778671,4.13435,3.74392319,44,43.5083237
02/27/2022 00:17:13,0.7692337,2.30768919,1.53846741,35,35,37,1197.28455,2294.79541,2.341511,0.734241664,0.001567862,99.77372,52.45899,4.132862,3.745411,44,43.5083237
02/27/2022 00:18:14,5.349648,7.64569044,6.497669,36,36,36,1197.28479,1197.28479,2.66088748,1.00869083,0.001283341,99.773735,52.3221474,4.12208176,3.75619125,44,43.5083237
02/27/2022 00:19:13,5.384612,3.8461566,4.615384,36,36,36,1197.28455,1197.28455,2.36529922,0.764766,0.001270549,99.7737045,52.31082,4.121189,3.757084,44,43.5083237
02/27/2022 00:20:13,5.303031,3.78787518,4.545456,36,36,36,1197.28491,1197.28491,2.44892859,0.8283515,0.001414077,99.77375,52.2913055,4.119652,3.75862122,44,43.5083237
02/27/2022 00:21:12,3.076923,4.615384,3.84615064,32,31,37,1197.285,1197.285,2.43157983,0.8083112,0.001268792,99.77376,52.2821045,4.118927,3.759346,44,43.50827
02/27/2022 00:22:13,0.78125,6.30040169,3.54082584,36,36,36,1197.28381,1197.28381,2.329256,0.7114026,0.001266547,99.77365,52.44596,4.131836,3.746437,44,43.50828
02/27/2022 00:23:13,5.384612,4.65251827,5.018568,36,36,37,1197.285,1197.285,2.37866831,0.756454945,0.001292109,99.77375,52.5491943,4.139969,3.73830414,44,43.50828
02/27/2022 00:24:13,5.46875,4.6875,5.078125,31,32,36,1197.28479,1197.28479,2.54569578,0.8857369,0.001127027,99.77373,52.42499,4.130184,3.74808884,45,43.50828
02/27/2022 00:25:12,4.615384,9.230768,6.923074,36,36,36,1197.28455,1197.28455,2.61484456,0.9390757,0.001429634,99.77371,52.36379,4.1253624,3.75291061,45,43.50828
02/27/2022 00:26:12,1.5504837,6.1899066,3.87019515,35,35,37,1197.28467,1197.28467,2.452988,0.808335245,0.001429963,99.77372,52.3051529,4.120743,3.75753021,45,43.50828
02/27/2022 00:27:12,1.5625,4.6875,3.125,35,35,37,1197.28528,1197.28528,2.479177,0.855059862,0.001340936,99.7737656,52.2762,4.11846161,3.7598114,45,43.50828
