,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
02/28/2022 00:00:01,14.84375,7.03125,10.9375,36,36,37,1197.28491,1197.28491,3.83930659,2.17153788,0.009397871,99.77375,49.1071739,3.8687973,4.00947571,33,43.5154877
02/28/2022 00:00:31,9.230768,6.959134,8.09495449,30,32,38,1197.2843,1197.2843,2.91229725,1.2001543,0.003004893,99.7737,49.9565659,3.93571472,3.94255829,34,43.5155258
02/28/2022 00:01:01,6.25,9.302884,7.776439,35,35,38,1197.28455,1197.28455,2.56426787,0.9023995,0.00292971986,99.77371,49.9001541,3.9312706,3.94700241,34,43.5155449
02/28/2022 00:01:31,4.6875,4.651439,4.66947,31,33,37,1197.28479,1197.28479,2.52406025,0.864647448,0.002095392,99.77373,49.83929,3.92647552,3.95179749,35,43.5155525
02/28/2022 00:02:00,9.375,9.375,9.375,33,34,37,1197.28467,1197.28467,3.910142,2.147301,0.0009126641,99.77372,49.7966843,3.92311859,3.95515442,36,43.51559
02/28/2022 00:02:31,6.061995,11.4568768,8.759439,32,33,37,1197.28479,1197.28479,2.49089622,0.829207361,0.00089020934,99.77373,49.4768181,3.8979187,3.98035431,36,43.51559
02/28/2022 00:03:01,2.34375,2.3317337,2.33774185,37,37,38,1197.28467,1197.28467,2.37854052,0.773065746,0.00108340906,99.77372,49.4562874,3.89630127,3.98197174,37,43.515583
02/28/2022 00:03:31,6.1188817,8.4615345,7.29020834,32,34,38,1197.28491,1197.28491,2.51339841,0.866471469,0.000946552842,99.77374,49.3775558,3.89009857,3.98817444,37,43.515583
02/28/2022 00:04:02,3.90625,4.71230125,4.309273,32,33,38,1197.28467,1197.28467,2.52473378,0.874654055,0.000900273735,99.77372,49.3505363,3.88797,3.990303,37,43.515583
02/28/2022 00:04:32,3.125,7.03125,5.078125,31,36,39,1197.28418,2095.24731,2.445596,0.821709156,0.00090027746,99.77368,49.28304,3.88265228,3.99562073,38,43.515583
02/28/2022 00:05:02,3.87018919,4.639423,4.254806,37,37,38,1197.28455,1197.28455,2.42362237,0.787062049,0.0009013881,99.77371,49.2934,3.88346863,3.99480438,38,43.515583
02/28/2022 00:05:32,4.54545,3.78787518,4.16666269,37,37,37,1197.28442,1197.28442,2.51659822,0.8784198,0.000893308257,99.7737045,49.2487564,3.87995148,3.99832153,38,43.515583
02/28/2022 00:06:02,7.69230747,6.153846,6.923074,36,36,37,1197.28467,1197.28467,2.35567117,0.7400039,0.00105173944,99.77372,49.197,3.87587357,4.00239944,39,43.515583
02/28/2022 00:06:33,6.25,9.375,7.8125,32,32,37,1197.28442,1197.28442,2.44410825,0.8193061,0.0009003196,99.7737045,49.169735,3.873726,4.004547,39,43.515583
02/28/2022 00:07:03,7.8125,7.862103,7.83730125,37,37,37,1197.28467,1197.28467,2.4179554,0.7823084,0.000900274958,99.77372,49.3006172,3.884037,3.994236,39,43.515583
02/28/2022 00:07:33,5.46875,7.7178,6.593275,32,33,37,1197.28442,1197.28442,2.47928977,0.8356542,0.000931593,99.7737,49.30502,3.88438416,3.99388885,39,43.515583
02/28/2022 00:08:03,4.68864441,6.153846,5.421245,35,35,36,1197.28467,1197.28467,2.42386556,0.7997539,0.000914587057,99.77372,49.33417,3.8866806,3.99159241,40,43.515583
02/28/2022 00:08:34,1.53846145,5.457878,3.4981668,36,36,37,1197.28442,1197.28442,2.40590858,0.7695183,0.0009039332,99.7737045,49.30483,3.884369,3.993904,40,43.515583
02/28/2022 00:09:04,6.9711566,8.497596,7.734376,36,36,37,1197.28467,1197.28467,2.43400216,0.7905616,0.0008966503,99.77372,49.2994041,3.88394165,3.99433136,41,43.515583
02/28/2022 00:09:34,2.31971145,5.33799553,3.82885337,36,36,37,1197.28418,1197.28418,2.404289,0.7693375,0.000889773655,99.77368,49.2591171,3.88076782,3.99750519,41,43.515583
02/28/2022 00:10:05,4.6875,7.03125,5.859375,36,36,36,1197.28467,1197.28467,2.42964053,0.7873469,0.00108342792,99.77372,49.26619,3.88132477,3.99694824,41,43.515583
02/28/2022 00:10:35,3.8461566,4.615384,4.23077345,36,37,38,1197.28491,1197.28491,2.4832077,0.8469321,0.0008931967,99.77374,49.2500648,3.88005447,3.99821854,41,43.515583
02/28/2022 00:11:05,3.90625,5.46875,4.6875,36,35,36,1197.28516,1197.28516,2.52245283,0.876193941,0.0010834164,99.7737656,48.5330544,3.82356644,4.05470657,41,43.515583
02/28/2022 00:11:35,3.8461566,6.153846,5.000001,36,36,37,1197.285,1197.285,2.386349,0.767298043,0.000887571543,99.77376,48.504,3.82127762,4.05699539,41,43.515583
02/28/2022 00:12:06,8.59375,12.5,10.546875,38,38,38,1197.285,1197.285,3.81235,2.11765862,0.000915546261,99.77375,48.504,3.82127762,4.05699539,42,43.51559
02/28/2022 00:12:36,3.14980149,2.34375,2.74677277,32,33,38,1197.2843,1197.2843,2.38911581,0.7834866,0.00105342222,99.7737,48.47388,3.81890488,4.059368,42,43.51563
02/28/2022 00:13:06,6.201923,7.02075958,6.61134148,37,37,38,1197.28467,1197.28467,2.313136,0.699889,0.0008714244,99.77373,48.4730148,3.81883621,4.059437,42,43.51563
02/28/2022 00:13:37,5.32634258,6.08391762,5.70513,36,36,36,1197.28467,1197.28467,2.500972,0.8403476,0.0008739271,99.77372,48.47761,3.81919861,4.0590744,43,43.51563
02/28/2022 00:14:07,6.153846,9.184843,7.669348,34,35,37,1197.28467,1197.28467,2.532025,0.8784906,0.000732711051,99.77372,48.4814339,3.8195,4.058773,43,43.51563
02/28/2022 00:14:37,1.53846145,2.30768919,1.9230783,33,32,37,1197.28479,1197.28479,2.46809816,0.8242345,0.000872922537,99.773735,48.4649734,3.818203,4.06007,43,43.51563
02/28/2022 00:15:07,3.076923,3.06526423,3.07109356,37,37,38,1197.28455,1197.28455,2.52592134,0.876596749,0.000885587768,99.77371,48.4568863,3.817566,4.060707,43,43.51563
02/28/2022 00:15:38,3.076923,5.396634,4.2367816,37,37,38,1197.28491,1197.28491,2.42169476,0.800185561,0.0008863908,99.773735,48.4472542,3.81680679,4.061466,43,43.51563
02/28/2022 00:16:08,7.03125,4.66346169,5.8473587,34,33,37,1197.28467,1197.28467,2.547983,0.8898677,0.000900212559,99.77372,48.4633751,3.818077,4.060196,43,43.51563
02/28/2022 00:16:38,2.30768919,3.076923,2.692306,37,37,38,1197.28455,1197.28455,2.414815,0.806985855,0.0007436698,99.77371,48.4489,3.81693649,4.06133652,43,43.51563
02/28/2022 00:17:09,2.34375,3.90625,3.125,36,36,36,1197.28564,1197.28564,2.259696,0.648763835,0.000907848764,99.7738,48.4603729,3.81784058,4.06043243,43,43.51563
02/28/2022 00:17:39,5.46875,5.46875,5.46875,38,38,39,1197.28467,1197.28467,2.345182,0.728817046,0.000899887062,99.77373,48.45384,3.81732559,4.06094742,43,43.51563
02/28/2022 00:18:09,6.818181,6.060606,6.439394,33,35,38,1197.28442,1197.28442,2.39681053,0.76529026,0.0008605769,99.7737,48.5578461,3.82551956,4.05275345,44,43.51563
02/28/2022 00:18:40,1.57489777,2.35614777,1.96552277,32,33,37,1197.28479,1197.28479,2.198779,0.6179727,0.000900301,99.773735,48.5655937,3.82613,4.052143,44,43.51563
02/28/2022 00:19:10,6.25,8.59375,7.421875,36,36,37,1197.284,1197.284,2.56484962,0.9116019,0.000914972043,99.773674,48.605442,3.82926941,4.0490036,44,43.51563
02/28/2022 00:19:40,4.615384,4.615384,4.615384,37,37,37,1197.28369,1197.28369,2.40608025,0.775613546,0.0009014744,99.77364,48.6215172,3.830536,4.047737,44,43.51563
02/28/2022 00:20:10,6.899762,6.153846,6.526804,36,36,37,1197.28467,1197.28467,2.456093,0.8193305,0.00088199717,99.77372,48.6092644,3.82957077,4.04870224,44,43.51558
02/28/2022 00:20:41,3.72103453,4.54545,4.13324261,37,37,37,1197.28455,1197.28455,2.37737536,0.7490191,0.00104601169,99.77371,48.60171,3.82897568,4.04929733,44,43.51558
02/28/2022 00:21:11,3.05361152,4.615384,3.834498,37,37,37,1197.28467,1197.28467,2.4682672,0.8519276,0.00105168822,99.77373,48.58738,3.82784653,4.05042648,44,43.51558
02/28/2022 00:21:41,3.125,3.90625,3.515625,34,34,39,2294.79614,1197.28491,2.4490366,0.8045459,0.00103800546,99.77374,48.5951271,3.82845688,4.049816,44,43.51558
