,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
02/28/2022 12:00:25,5.49355125,6.25,5.871773,35,35,36,1197.28455,1197.28455,2.34361744,0.7362183,0.001267963,99.77372,49.2505455,3.88009262,3.99818039,34,43.5174141
02/28/2022 12:00:55,2.30768919,5.384612,3.8461566,31,35,37,1197.28442,1197.28442,2.27924538,0.6938632,0.00146006,99.7737045,49.2874451,3.88299942,3.99527359,34,43.5174141
02/28/2022 12:01:25,2.272725,3.78787518,3.03030014,35,35,36,1197.28479,1197.28479,2.24701571,0.665538549,0.001205473,99.77373,49.3392067,3.88707733,3.99119568,35,43.5174141
02/28/2022 12:01:56,4.73790169,4.663825,4.70086336,36,36,36,1197.28418,1197.28418,2.49564767,0.856519461,0.001281689,99.77368,49.5957375,3.9072876,3.97098541,35,43.5174446
02/28/2022 12:02:26,8.59375,6.983173,7.78846169,36,37,37,1197.28467,1197.28467,2.28883553,0.693784,0.001288153,99.77372,49.52848,3.901989,3.976284,36,43.5174446
02/28/2022 12:02:56,4.54545,5.291724,4.918587,33,35,37,2394.56958,1197.28479,2.34581614,0.7340173,0.001287308,99.77373,49.42496,3.89383316,3.98443985,36,43.5174446
02/28/2022 12:03:26,6.818181,8.333331,7.575756,36,36,37,1197.28418,1197.28418,2.24121976,0.6549711,0.001261672,99.77368,49.3005142,3.88402939,3.99424362,37,43.5174446
02/28/2022 12:03:57,3.8461566,4.615384,4.23076725,37,37,37,1197.28491,1197.28491,2.348251,0.741306543,0.001275579,99.77374,49.31461,3.88513947,3.99313354,37,43.5174446
02/28/2022 12:04:27,4.6875,4.6875,4.6875,31,34,37,1197.28467,1197.28467,2.353815,0.751338661,0.001280069,99.77373,49.30488,3.88437271,3.9939003,37,43.5174446
02/28/2022 12:04:57,7.69230747,8.4615345,8.076924,37,37,37,1197.28467,1197.28467,2.51709986,0.825096965,0.001271474,99.77372,49.2737427,3.88191986,3.99635315,38,43.5174446
02/28/2022 12:05:28,3.1129837,4.64015,3.876567,31,34,37,1197.2843,1197.2843,2.34696674,0.730549335,0.00128826,99.7737,49.257473,3.88063812,3.997635,38,43.5178642
02/28/2022 12:05:58,3.03030014,3.03030014,3.03030014,38,38,38,1197.28491,1197.28491,2.61597252,0.775006235,0.001254929,99.77374,49.22261,3.87789154,4.00038147,38,43.5178642
02/28/2022 12:06:28,3.90625,4.6875,4.296875,33,35,38,1197.28479,1197.28479,2.37957215,0.7644603,0.001190107,99.773735,49.15424,3.87250519,4.005768,38,43.5174446
02/28/2022 12:06:59,6.25,6.25,6.25,37,37,37,1197.28455,1197.28455,2.636157,0.801561,0.00146493,99.77371,49.2237244,3.87797928,4.00029373,39,43.5174446
02/28/2022 12:07:29,4.500222,5.99275827,5.24649048,35,36,38,1197.28491,1197.28491,2.24260473,0.6502813,0.001341027,99.77374,49.2868156,3.88294983,3.99532318,39,43.5174446
02/28/2022 12:07:59,3.125,3.90625,3.515625,38,38,38,1197.28442,1197.28442,2.59055877,0.74980396,0.001269454,99.7737045,48.7080421,3.83735275,4.04092026,39,43.5174446
02/28/2022 12:08:29,2.34375,3.1129837,2.72836685,36,36,36,1197.28467,1197.28467,2.36989427,0.7580967,0.001280208,99.77372,48.7629051,3.8416748,4.036598,39,43.5174446
02/28/2022 12:09:00,11.5384579,8.4615345,9.999996,41,36,43,2993.21313,3192.76074,3.18581462,1.3345772,0.001265216,99.77377,48.7612572,3.841545,4.036728,39,43.5174446
02/28/2022 12:09:30,5.46875,7.13205338,6.30040169,35,35,36,1197.28418,1197.28418,2.523737,0.8826915,0.001296931,99.77368,48.75308,3.84090042,4.03737259,40,43.5174446
02/28/2022 12:10:00,7.8125,7.03125,7.421875,35,37,38,1197.28418,1197.28418,3.89935875,2.127135,0.001129028,99.773674,48.851902,3.84868622,4.029587,40,43.5174446
02/28/2022 12:10:31,6.25,7.8125,7.03125,37,37,37,1197.28491,1197.28491,2.470794,0.851672053,0.001255905,99.77375,48.81728,3.84595871,4.0323143,41,43.5174446
02/28/2022 12:11:01,6.299603,7.8125,7.05605125,38,38,38,2494.344,1197.285,2.38941479,0.7759172,0.001429785,99.77376,48.8113747,3.84549332,4.03277969,41,43.5174446
02/28/2022 12:11:31,6.153846,6.153846,6.153846,34,34,37,1197.28467,1197.28467,2.34307361,0.7287555,0.001270795,99.77372,48.7902145,3.84382629,4.03444672,41,43.5178642
02/28/2022 12:12:02,4.47860956,5.280745,4.8796773,36,36,37,1197.285,1197.285,2.39701056,0.766709,0.001358999,99.77375,48.6809769,3.83522034,4.04305267,41,43.5174561
02/28/2022 12:12:32,7.69230747,5.384612,6.538457,37,37,38,1197.28455,1197.28455,2.34309459,0.72607094,0.001262267,99.77371,48.6561356,3.8332634,4.04500961,41,43.5178757
02/28/2022 12:13:02,2.30768919,3.8461566,3.076923,36,36,37,1197.28479,1197.28479,2.36524963,0.7498199,0.001437915,99.773735,48.6723137,3.83453751,4.0437355,41,43.5174561
02/28/2022 12:13:32,3.90625,5.505955,4.70610237,31,34,38,1197.28491,1197.28491,2.334287,0.756253,0.001428814,99.77374,48.6369629,3.83175278,4.04652,41,43.5174561
02/28/2022 12:14:03,5.46875,7.03125,6.25,31,34,38,1197.28442,1197.28442,2.394819,0.7754471,0.001429788,99.7737045,48.66519,3.83397675,4.04429626,41,43.5178757
02/28/2022 12:14:33,2.272725,3.78787518,3.03030014,31,32,37,1197.28455,1197.28455,2.20295453,0.631622,0.00123914,99.7737045,48.63212,3.83137131,4.0469017,42,43.5178757
02/28/2022 12:15:03,5.4086566,3.89499664,4.65182066,36,36,36,1197.28479,1197.28479,2.25812483,0.6689451,0.001461599,99.773735,48.64166,3.8321228,4.04615,42,43.5174561
02/28/2022 12:15:34,3.06526423,3.8461566,3.45571041,36,36,37,1197.28455,1197.28455,2.28452778,0.689962745,0.001620093,99.77371,48.6130447,3.82986832,4.04840469,42,43.5174561
02/28/2022 12:16:04,4.615384,7.657343,6.136364,32,33,37,1197.28467,1197.28467,2.35550165,0.75181216,0.001248183,99.77372,48.5941124,3.82837677,4.04989624,42,43.5178757
02/28/2022 12:16:34,3.87057066,4.6274066,4.24898863,35,35,37,1197.28418,1197.28418,2.44955516,0.8240755,0.001287805,99.77369,48.56375,3.825985,4.052288,42,43.5178757
02/28/2022 12:17:05,4.615384,4.615384,4.6153903,31,33,37,1197.28467,1197.28467,2.27438569,0.6909752,0.001260438,99.77372,48.60549,3.82927322,4.049,42,43.5174561
02/28/2022 12:17:35,6.92307949,6.92307949,6.923074,36,36,36,1197.28442,1197.28442,2.37822962,0.764441669,0.001437793,99.7737045,48.5805054,3.82730484,4.050968,43,43.5174561
02/28/2022 12:18:05,3.90625,7.068455,5.48735237,36,36,37,1197.28442,1197.28442,2.4541254,0.8199796,0.001275028,99.7737045,48.6224861,3.83061218,4.047661,43,43.5174561
02/28/2022 12:18:36,3.73134613,3.73134613,3.73134613,36,36,36,1197.28442,1197.28442,2.24528766,0.6614891,0.001402574,99.7737045,48.63062,3.831253,4.04702,43,43.5174561
