,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/19/2021 00:04:39,0.78125,1.53846145,1.1598587,39,39,40,1197.28418,1197.28418,1.788217,0.318903238,0.001615809,99.77368,31.510498,2.482483,5.39579,35,10.60173,39.33333333
11/19/2021 00:09:39,0,2.34375,1.171875,40,40,40,1197.284,1197.284,1.76992643,0.275350362,0.001494729,99.77367,31.57882,2.48786545,5.39040756,35,10.6017609,40
11/19/2021 00:14:39,1.51515007,1.53846145,1.52680874,39,39,39,1197.28418,1197.28418,1.91650939,0.418647468,0.001424379,99.77368,31.5815277,2.488079,5.390194,35,10.601799,39
11/19/2021 00:19:39,0,1.53846145,0.7692337,36,36,36,1197.284,1197.284,1.68328893,0.22623232,0.001294907,99.773674,31.6339188,2.49220657,5.38606644,35,10.6018829,36
11/19/2021 00:24:39,0,1.53846145,0.7692337,38,38,39,1197.28381,1197.28381,1.77258754,0.295315772,0.001416021,99.77364,31.7248077,2.49936676,5.37890625,35,10.601944,38.33333333
11/19/2021 00:29:39,0,2.30768919,1.15384459,38,38,38,1197.284,1197.284,1.80145383,0.3081054,0.001406532,99.773674,31.6302414,2.49191666,5.38635635,35,10.6019592,38
11/19/2021 00:34:38,2.34375,1.5625,1.953125,37,37,38,1197.284,1197.284,1.8257854,0.346563518,0.001433089,99.77367,31.6229782,2.49134445,5.38692856,35,10.60199,37.33333333
11/19/2021 00:39:39,0,2.34375,1.171875,39,39,39,1197.284,1197.284,1.742186,0.2587971,0.001611685,99.773674,31.6148376,2.49070358,5.38756943,35,10.6020355,39
11/19/2021 00:44:39,1.58730149,2.34375,1.96552277,39,39,39,1197.284,1197.284,1.85275161,0.366821826,0.00141665,99.77367,31.69072,2.49668121,5.381592,35,10.6020584,39
11/19/2021 00:49:39,0,1.5625,0.78125,39,39,39,1197.28394,1197.28394,1.78922,0.3002935,0.001451813,99.77367,31.5700073,2.48717117,5.391102,35,10.6020584,39
11/19/2021 00:54:39,0,3.90625,1.953125,40,40,41,1197.2843,1197.2843,2.0744915,0.5421643,0.001616777,99.77369,32.1967621,2.53654861,5.3417244,35,10.6021118,40.33333333
11/19/2021 00:59:39,0,2.34375,1.171875,38,38,38,1197.28455,1197.28455,1.79320669,0.301552981,0.001606528,99.77372,31.8697281,2.51078415,5.367489,35,10.60215,38
11/19/2021 01:04:39,1.58730149,0.78125,1.18427277,39,39,39,1197.28394,1197.28394,1.87880051,0.39854908,0.001305176,99.77367,31.8566589,2.50975418,5.368519,36,10.601944,39
11/19/2021 01:09:39,0,1.5625,0.78125,38,38,39,1197.284,1197.284,1.7109946,0.24129121,0.001416523,99.773674,31.91195,2.51411057,5.36416245,35,10.6019363,38.33333333
11/19/2021 01:14:39,0.7352948,2.30768919,1.521492,39,39,40,1197.284,1197.284,1.92984414,0.432379872,0.00147165,99.773674,31.90406,2.51348877,5.36478424,35,10.6012039,39.33333333
11/19/2021 01:19:39,0,2.34375,1.171875,39,39,40,1197.284,1197.284,1.77350855,0.284380347,0.001637801,99.77367,31.9476318,2.516922,5.361351,35,10.6012192,39.33333333
11/19/2021 01:24:38,0,3.78787518,1.89393759,39,39,40,1197.28418,1197.28418,1.86902666,0.3738584,0.001400164,99.77368,32.0238953,2.52293015,5.355343,36,10.6012039,39.33333333
11/19/2021 01:29:39,0,2.34375,1.171875,38,38,39,1197.284,1197.284,1.76851189,0.276208639,0.00165762,99.77367,32.08036,2.527378,5.350895,35,10.6012421,38.33333333
11/19/2021 01:34:39,2.30768919,2.30768919,2.30768919,39,39,40,1197.28418,1197.28418,2.017899,0.48459512,0.001490691,99.77368,31.8624115,2.51020813,5.368065,35,10.6012726,39.33333333
11/19/2021 01:39:39,0,1.5625,0.78125,39,39,39,1197.28442,1197.28442,1.68574858,0.218735024,0.001490373,99.7737,31.924202,2.51507568,5.36319733,36,10.6013031,39
11/19/2021 01:44:39,2.34375,1.5625,1.953125,39,39,40,1197.284,1197.284,1.92496479,0.418245763,0.001315912,99.773674,31.9430847,2.51656342,5.36170959,36,10.6013412,39.33333333
11/19/2021 01:49:39,0,1.5625,0.78125,40,40,40,1197.28394,1197.28394,1.73832607,0.262137383,0.001453514,99.77367,31.9568329,2.51764679,5.360626,36,10.6013947,40
11/19/2021 01:54:38,0,1.5625,0.78125,39,39,40,1197.2843,1197.2843,1.68369937,0.213671535,0.001323185,99.77369,32.0147,2.52220535,5.35606766,36,10.6014252,39.33333333
11/19/2021 01:59:38,0,1.5625,0.78125,40,40,40,1197.284,1197.284,1.71438026,0.241878733,0.001443644,99.773674,31.96357,2.518177,5.360096,36,10.6014633,40
11/19/2021 02:04:38,0,1.5625,0.78125,39,39,40,1197.284,1197.284,1.76691926,0.2803467,0.001457981,99.773674,31.8966446,2.51290512,5.365368,36,10.6014786,39.33333333
11/19/2021 02:09:38,0,2.34375,1.171875,39,39,39,1197.28418,1197.28418,1.68169916,0.210517555,0.001452378,99.77368,31.841011,2.508522,5.369751,35,10.6014633,39
