,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,AVG CPU TEMP
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
11/23/2021 00:02:02,7.03125,3.90625,5.46875,35,35,39,1197.284,1197.284,2.85548,1.05847931,0,99.77367,44.2672577,3.48749542,4.39077759,33,28.2657547,36.33333333
11/23/2021 00:07:02,7.03125,10.15625,8.59375,34,36,40,1197.284,1197.284,3.287412,1.47509861,0,99.773674,44.21535,3.483406,4.394867,33,28.2657547,36.66666667
11/23/2021 23:35:01,3.8461566,4.615384,4.23076725,37,37,38,1197.28,1197.28,2.145879,0.5736809,0.016194355,99.77333,26.1146164,2.05738068,5.82089233,44,23.2809982,37.33333333
11/23/2021 23:35:02,5.384612,2.30768919,3.84615064,38,38,39,1197.28027,1197.28027,2.31266117,0.7543927,0.005685477,99.77335,26.1564026,2.06067276,5.81760025,44,23.2809982,38.33333333
11/23/2021 23:35:03,10.8533621,8.4615345,9.657449,38,38,39,1197.2804,1197.2804,3.01709962,1.370404,0.021241497,99.77336,26.16822,2.06160355,5.81666946,44,23.2809982,38.33333333
11/23/2021 23:35:04,3.125,2.34375,2.734375,37,37,37,1197.2804,1197.2804,2.14289618,0.5879351,0.011652194,99.77336,26.1676865,2.06156158,5.81671143,44,23.2809982,37
11/23/2021 23:35:05,1.5625,1.5625,1.5625,37,37,38,1197.28015,1197.28015,1.97706962,0.4629135,0.005641949,99.7733459,26.17199,2.061901,5.816372,44,23.2809982,37.33333333
11/23/2021 23:35:06,1.57489777,2.34375,1.95932388,38,38,39,1197.2804,1197.2804,1.86713231,0.357910275,0.005633602,99.77336,26.1718979,2.06189346,5.81637955,44,23.2809982,38.33333333
11/23/2021 23:35:07,1.5504837,2.34375,1.94711685,37,37,38,1197.28027,1197.28027,1.81917381,0.326897919,0.005838552,99.77336,26.17083,2.06180954,5.81646347,44,23.2809982,37.33333333
