,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
11/21/2021 00:02:12,0,1.5625,0.78125,40,40,41,1197.28381,1197.28381,2.07929325,0.281542927,0.001446572,99.77366,31.8975677,2.5129776,5.36529541,34,11.4121246
11/21/2021 00:07:12,2.34375,1.5625,1.953125,43,43,43,1197.284,1197.284,2.129227,0.3294546,0.00158172275,99.77367,31.8105621,2.50612259,5.37215042,35,11.4121246
11/21/2021 00:12:12,0,1.5625,0.78125,41,41,42,1197.284,1197.284,2.03042436,0.23273164,0.00145922787,99.77367,31.3776321,2.47201538,5.40625763,35,11.4121323
11/21/2021 00:17:12,1.5625,2.34375,1.953125,43,43,43,1197.284,1197.284,2.09052062,0.288544148,0.00144749437,99.773674,31.60913,2.49025345,5.38801956,36,11.41217
11/21/2021 00:22:12,0.78125,2.34375,1.5625,40,40,40,1197.284,1197.284,2.1363225,0.34559682,0.00161736261,99.773674,31.72403,2.49930573,5.37896729,36,11.4121552
11/21/2021 00:27:12,0,2.34375,1.171875,37,37,38,1197.28418,1197.28418,2.082716,0.304667115,0.001449488,99.77368,31.69619,2.49711227,5.38116074,35,11.4121628
11/21/2021 00:32:12,0,2.30768919,1.15384459,36,36,37,1197.28418,1197.28418,2.10658264,0.328602225,0.00142642041,99.77368,31.6876678,2.496441,5.381832,34,11.4122086
11/21/2021 00:37:12,0,0.78125,0.390625,39,39,40,1197.28455,1197.28455,2.073238,0.287979066,0.00144073833,99.77371,31.3709488,2.471489,5.406784,34,11.4122162
11/21/2021 00:42:13,0.7692337,1.53846145,1.15385056,42,42,42,1197.28418,1197.28418,2.13813019,0.340107679,0.00131876953,99.773674,31.6110153,2.49040222,5.387871,34,11.4122238
