,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
11/22/2021 00:02:25,1.5625,2.34375,1.953125,40,40,40,1197.284,1197.284,2.20581245,0.407693863,0.001315044,99.773674,37.0175972,2.9163475,4.96192551,35,27.5390015
11/22/2021 00:07:24,2.30768919,2.30768919,2.30768919,38,38,39,1197.2843,1197.2843,2.11689138,0.332583249,0.00154878723,99.77369,37.1916237,2.93005753,4.94821548,35,27.5390167
11/22/2021 00:12:24,3.90625,2.34375,3.125,36,36,37,1197.2843,1197.2843,2.24719071,0.465093672,0.0015440553,99.77369,37.08355,2.92154312,4.95673,35,27.5390472
11/22/2021 00:17:24,3.90625,1.5625,2.734375,38,38,39,1197.28345,1197.28345,2.14318347,0.356731147,0.00132872269,99.77362,37.0103378,2.9157753,4.96249771,34,27.53907
11/22/2021 00:22:24,0,6.25,3.125,40,40,41,1197.28381,1197.28381,2.47886682,0.678755641,0.0014184441,99.77365,37.00036,2.91498947,4.96328354,35,27.5391083
11/22/2021 00:27:24,4.6875,3.125,3.90625,42,42,43,1197.284,1197.284,2.52997756,0.7259419,0.00160730735,99.773674,37.0154648,2.91617966,4.96209335,35,27.5391312
11/22/2021 00:32:23,1.5625,3.90625,2.734375,44,44,44,1197.28418,1197.28418,2.55831528,0.7514284,0.00150577712,99.773674,37.0392876,2.91805649,4.96021652,36,27.5391312
11/22/2021 00:37:23,0.78125,2.34375,1.5625,45,45,45,1197.28455,1197.28455,2.106607,0.2943017,0.00132712629,99.77371,37.041275,2.918213,4.96006,36,27.5391388
11/22/2021 00:42:23,1.53846145,2.30768919,1.9230783,45,45,45,1197.28418,1197.28418,2.169011,0.355237037,0.00133433752,99.77369,37.0324631,2.91751862,4.96075439,36,27.5391541
11/22/2021 00:47:23,0,1.5625,0.78125,45,45,46,1197.28381,1197.28381,2.10870123,0.293668121,0.0015430738,99.77365,37.0699425,2.92047119,4.957802,37,27.5391541
11/22/2021 00:52:22,3.125,3.125,3.125,40,40,41,1197.28418,1197.28418,2.260571,0.463738978,0.00161751662,99.77368,37.79107,2.97728348,4.90098953,36,27.5392
11/22/2021 00:57:22,0,1.5625,0.78125,37,37,38,1197.284,1197.284,2.08876,0.3073485,0.00131698907,99.773674,37.1126022,2.923832,4.954441,36,27.5392761
11/22/2021 01:02:22,1.5625,2.34375,1.953125,37,37,37,1197.28442,1197.28442,2.16252112,0.380462736,0.00144720555,99.7737045,37.2432861,2.93412781,4.944145,35,27.5393143
11/22/2021 01:07:22,1.5625,2.34375,1.953125,40,40,41,1197.284,1197.284,2.11930323,0.320353657,0.00161216455,99.773674,37.2284241,2.9329567,4.94531631,35,27.5393677
11/22/2021 01:12:22,0,1.5625,0.78125,42,42,43,1197.2843,1197.2843,2.18115878,0.380583555,0.001506166,99.77369,37.1804848,2.92918015,4.949093,35,27.5393677
11/22/2021 01:17:21,5.505955,2.34375,3.92485261,43,43,43,1197.28394,1197.28394,2.14353728,0.3391142,0.00163263071,99.77367,37.07193,2.92062759,4.95764542,36,27.53933
11/22/2021 01:22:21,0,2.34375,1.171875,43,43,43,1197.28418,1197.28418,2.04732347,0.242244646,0.00143421278,99.77368,37.013,2.915985,4.962288,36,27.53939
11/22/2021 01:27:21,2.34375,1.5625,1.953125,46,46,47,1197.284,1197.284,2.12760878,0.3131512,0.00132336689,99.773674,37.0107727,2.91580963,4.96246338,36,27.53939
