,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
01/17/2022 00:01:25,0,2.30768919,1.15384459,38,38,39,1197.28467,1197.28467,1.70619106,0.234673858,0.002641,99.77372,25.13163,1.97993851,5.8983345,35,41.51929
01/17/2022 00:06:26,0,1.53846145,0.7692337,39,39,40,1197.28442,1197.28442,1.72553885,0.250938058,0.00271850824,99.7737045,25.0896072,1.97662735,5.90164566,35,41.5193367
01/17/2022 00:11:25,0,1.53846145,0.7692337,39,39,39,1197.28491,1197.28491,1.76182353,0.276248485,0.00281534763,99.773735,25.015274,1.97077179,5.907501,35,41.5193367
01/17/2022 00:16:26,0,1.53846145,0.7692337,40,40,40,1197.28479,1197.28479,1.68324673,0.213556275,0.00246652565,99.773735,25.15303,1.9816246,5.89664841,35,41.5194435
01/17/2022 00:21:26,0,1.51515007,0.757575035,40,40,41,1197.28467,1197.28467,1.69208717,0.218919829,0.00263723312,99.77372,25.0462646,1.9732132,5.90506,36,41.5194664
01/17/2022 00:26:25,0,2.34375,1.171875,40,40,41,1197.28467,1197.28467,1.68166566,0.204677567,0.002517895,99.77372,25.1439285,1.98090744,5.89736557,36,41.519516
01/17/2022 00:31:25,0,1.51515007,0.757575035,40,39,40,1197.28479,1197.28479,1.68144882,0.2136151,0.00266196369,99.77373,25.01915,1.971077,5.907196,36,41.5195274
01/17/2022 00:36:26,0,2.34375,1.171875,39,39,40,1197.28467,1197.28467,1.67087948,0.197438315,0.00274622487,99.77373,25.0241852,1.97147369,5.90679932,36,41.5196838
01/17/2022 00:41:25,2.34375,0,1.171875,40,40,40,1197.28455,1197.28455,1.70542562,0.225335017,0.00274929916,99.77372,25.0469971,1.97327042,5.90500259,36,41.5196838
01/17/2022 00:46:25,0,1.5625,0.78125,39,39,41,1197.28455,1197.28455,1.69043422,0.218251675,0.00275113643,99.77371,25.29248,1.99261093,5.885662,36,41.5197258
01/17/2022 00:51:26,0,2.34375,1.171875,40,40,40,1197.28467,1197.28467,1.766246,0.2679388,0.00269141654,99.77372,25.1520615,1.98154831,5.8967247,36,41.51984
01/17/2022 00:56:26,0,2.34375,1.171875,40,40,41,1197.28467,1197.28467,1.71210921,0.230002344,0.0027312208,99.77372,24.88813,1.96075439,5.91751862,36,41.5198936
01/17/2022 01:01:26,0,1.53846145,0.7692337,41,41,41,1197.28467,1197.28467,1.81319392,0.3116679,0.00249960716,99.77373,24.9366913,1.96458054,5.91369247,36,41.51991
01/17/2022 01:06:26,0,1.51515007,0.757575035,40,40,42,1197.28467,1197.28467,1.77353621,0.281298459,0.002685142,99.77372,24.912529,1.962677,5.915596,36,41.5199547
01/17/2022 01:11:26,0,1.51515007,0.757575035,40,40,41,1197.28479,1197.28479,1.68140423,0.210435659,0.002608646,99.77373,24.856842,1.9582901,5.919983,36,41.5199547
01/17/2022 01:16:26,0,2.34375,1.171875,40,40,41,1197.28442,1197.28442,1.68951046,0.207293645,0.002693894,99.7737045,25.0644226,1.97464371,5.9036293,36,41.5200043
01/17/2022 01:21:26,0,1.53846145,0.7692337,40,40,41,1197.28455,1197.28455,1.7592845,0.274655074,0.00263729156,99.77371,24.978714,1.96789169,5.91038132,37,41.52003
01/17/2022 01:26:26,0,1.49253607,0.746268034,40,40,41,1197.28467,1197.28467,1.72177136,0.24843733,0.00263621332,99.77372,25.05745,1.97409439,5.90417862,37,41.52009
01/17/2022 01:31:26,0,0.7692337,0.384616852,40,40,40,1197.28467,1197.28467,1.70473623,0.233710185,0.002684244,99.77373,24.923378,1.96353149,5.91474152,37,41.52012
01/17/2022 01:36:26,0,1.51515007,0.757575035,40,40,41,1197.2854,1197.2854,1.6880275,0.213298663,0.00264847814,99.77379,24.9626389,1.96662521,5.911648,37,41.5201569
01/17/2022 01:41:26,0,2.34375,1.171875,40,40,42,1197.28467,1197.28467,1.75755048,0.2594873,0.00274622021,99.77373,24.9631729,1.96666718,5.911606,37,41.5201836
01/17/2022 01:46:26,0,1.5625,0.78125,37,37,38,1197.28479,1197.28479,1.76260829,0.2848942,0.00254780939,99.773735,25.23172,1.98782349,5.89044952,36,41.52023
01/17/2022 01:51:26,0,2.34375,1.171875,36,36,36,1197.28455,1197.28455,1.774333,0.2876938,0.00276173837,99.77371,25.1036453,1.97773361,5.9005394,36,41.52033
01/17/2022 01:56:26,0,1.49253607,0.746268034,36,36,36,1197.28467,1197.28467,1.77648652,0.2964499,0.002606057,99.77372,25.2828522,1.99185181,5.886421,35,41.5203743
01/17/2022 02:01:26,0,1.53846145,0.7692337,36,36,37,1197.28467,1197.28467,1.67548525,0.2167455,0.00270387344,99.77372,25.0524139,1.97369766,5.90457535,34,41.5204
01/17/2022 02:06:26,0,1.53846145,0.7692337,38,38,38,1197.28467,1197.28467,1.70995784,0.242051482,0.002482426,99.77372,25.08612,1.97635269,5.90192032,35,41.5204124
01/17/2022 02:11:26,0,1.51515007,0.757575035,38,38,39,1197.28467,1197.28467,1.69557631,0.2260384,0.00243910379,99.77372,25.08171,1.97600555,5.90226746,35,41.52045
01/17/2022 02:16:26,0,2.272725,1.13636255,40,40,40,1197.28455,1197.28455,1.70596433,0.229365185,0.002447899,99.77371,25.1542511,1.98172,5.896553,35,41.52048
01/17/2022 02:21:26,0,2.30768919,1.15384459,40,40,40,1197.28479,1197.28479,1.67895091,0.204041839,0.00268910965,99.77373,25.0476227,1.97332,5.904953,35,41.52044
01/17/2022 02:26:26,0,1.51515007,0.757575035,40,40,40,1197.28455,1197.28455,1.80219483,0.312226772,0.00266316719,99.77371,25.13575,1.98026276,5.89801025,36,41.5205078
01/17/2022 02:31:26,0,2.23881,1.119405,39,39,40,1197.28455,1197.28455,1.66763175,0.1960832,0.00241700537,99.77371,24.9941635,1.96910858,5.90916443,36,41.5205078
01/17/2022 02:36:26,0,2.23881,1.119405,40,40,41,1197.28455,1197.28455,1.68983233,0.209233269,0.0026267888,99.77372,25.01596,1.9708252,5.907448,36,41.52055
01/17/2022 02:41:26,0,1.51515007,0.757575035,40,40,41,1197.28455,1197.28455,1.71609259,0.238956511,0.00214251131,99.77371,25.0436478,1.9730072,5.905266,36,41.52055
01/17/2022 02:46:27,0,1.5625,0.78125,36,36,36,1197.28467,1197.28467,1.72705579,0.2600965,0.00266921171,99.77372,25.2605743,1.990097,5.888176,36,41.5198021
01/17/2022 02:51:26,0,1.5625,0.78125,35,35,36,1197.28479,1197.28479,1.70614779,0.243409812,0.00273803528,99.77373,25.0076752,1.97017288,5.9081,35,41.51998
01/17/2022 02:56:26,0,1.5625,0.78125,34,34,35,1197.28442,1197.28442,1.70997894,0.2454578,0.00270165061,99.7737045,24.928215,1.963913,5.91436,34,41.5199928
01/17/2022 03:01:27,0,1.53846145,0.7692337,35,35,36,1197.284,1197.284,1.77455389,0.296011865,0.002689105,99.773674,24.9636078,1.96670151,5.9115715,34,41.52004
01/17/2022 03:06:27,0,2.30768919,1.15384459,38,38,38,1197.28442,1197.28442,1.74033308,0.257913917,0.00265906123,99.7737,25.0239944,1.97145844,5.90681458,34,41.5200768
01/17/2022 03:11:27,0,1.53846145,0.7692337,39,39,39,1197.284,1197.284,1.70240784,0.233115032,0.002663398,99.773674,24.9961472,1.969265,5.909008,34,41.5200768
01/17/2022 03:16:27,0,0.793647766,0.396823883,40,40,40,1197.28479,1197.28479,1.767115,0.295154929,0.00253286376,99.773735,25.1395264,1.9805603,5.89771271,35,41.5201035
01/17/2022 03:21:28,0,1.53846145,0.7692337,39,39,39,1197.28455,1197.28455,1.70485151,0.23367928,0.00264651,99.77371,25.0072861,1.97014236,5.90813065,35,41.52012
01/17/2022 03:26:28,0,2.30768919,1.15384459,40,40,40,1197.28479,1197.28479,1.75880361,0.266443968,0.00268801628,99.77373,25.1224823,1.97921753,5.89905548,36,41.5201836
01/17/2022 03:31:28,0,1.53846145,0.7692337,36,36,37,1197.28467,1197.28467,1.75676107,0.2899905,0.00268787821,99.77372,25.087326,1.976448,5.901825,36,41.520237
01/17/2022 03:36:28,0,1.51515007,0.757575035,36,36,36,1197.28442,1197.28442,1.69750845,0.234410852,0.00247387588,99.7737045,25.0393372,1.97266769,5.90560532,35,41.52026
01/17/2022 03:41:29,0,1.51515007,0.757575035,36,36,36,1197.28467,1197.28467,1.6978302,0.234388873,0.00266554044,99.77372,25.0560989,1.97398758,5.90428543,34,41.5202751
01/17/2022 03:46:28,0.746268034,2.30768919,1.52698159,36,36,36,1197.28455,1197.28455,1.760186,0.2790303,0.00253842468,99.77371,25.2691956,1.99077606,5.887497,34,41.5203323
01/17/2022 03:51:28,0,1.53846145,0.7692337,37,37,38,1197.28442,1197.28442,1.7057066,0.238773331,0.0025140373,99.7737,25.1721115,1.98312759,5.89514542,35,41.5204353
01/17/2022 03:56:29,0,1.5625,0.78125,39,39,39,1197.28479,1197.28479,1.700448,0.230022013,0.00267660874,99.77373,25.02903,1.97185516,5.906418,35,41.52047
01/17/2022 04:01:29,0,1.51515007,0.757575035,40,40,40,1197.28467,1197.28467,1.69923985,0.226639941,0.0026363756,99.77372,25.2615433,1.99017334,5.88809967,35,41.52048
01/17/2022 04:06:29,0,2.30768919,1.15384459,39,39,40,1197.28467,1197.28467,1.68663859,0.213270172,0.00235540862,99.77373,25.23825,1.98833847,5.88993454,36,41.52054
01/17/2022 04:11:29,0,2.272725,1.13636255,40,40,40,1197.28455,1197.28455,1.77113211,0.2733434,0.0026371344,99.77371,25.1282425,1.97967148,5.89860153,36,41.52054
01/17/2022 04:16:29,0,1.5625,0.78125,40,40,41,1197.28467,1197.28467,1.71483469,0.237584427,0.00271612266,99.77373,25.2740326,1.99115753,5.88711548,36,41.5205765
01/17/2022 04:21:29,0,2.30768919,1.15384459,40,40,41,1197.28467,1197.28467,1.70540869,0.2221985,0.00268672872,99.77373,25.1455765,1.98103714,5.897236,36,41.5205879
01/17/2022 04:26:29,0,1.53846145,0.7692337,40,40,40,1197.28455,1197.28455,1.72618139,0.245850265,0.00256970618,99.77371,25.2306519,1.98773956,5.89053345,36,41.5206566
01/17/2022 04:31:29,0,2.34375,1.171875,40,40,40,1197.28455,1197.28455,1.8046422,0.3015127,0.0027147003,99.77371,24.8043137,1.95415115,5.924122,36,41.52068
01/17/2022 04:36:29,0,1.53846145,0.7692337,40,40,41,1197.2843,1197.2843,1.8107692,0.311059177,0.002679738,99.7737,24.8952866,1.961319,5.916954,36,41.52073
01/17/2022 04:41:30,0,2.23881,1.119405,40,40,40,1197.28467,1197.28467,1.7968055,0.292197973,0.00244748755,99.77372,24.9224548,1.963459,5.914814,36,41.5207329
01/17/2022 04:46:30,0,2.30768919,1.15384459,40,40,41,1197.284,1197.284,1.7897377,0.289683551,0.0023883325,99.77367,25.1860123,1.98422241,5.8940506,37,41.5207977
01/17/2022 04:51:30,0,1.53846145,0.7692337,39,39,41,1197.28467,1197.28467,1.74068582,0.259613633,0.00271600462,99.77372,25.0888748,1.97657013,5.901703,37,41.5209236
01/17/2022 04:56:30,7.03125,5.4567337,6.243992,38,40,42,2993.212,2993.212,2.74090266,1.20250738,0.00267688814,99.77373,25.0697021,1.97505951,5.9032135,36,41.52095
01/17/2022 05:01:31,0,1.53846145,0.7692337,36,36,37,1197.28479,1197.28479,1.73313022,0.26583612,0.00272722752,99.77373,25.0021057,1.96973419,5.908539,35,41.5209846
01/17/2022 05:06:31,0,1.51515007,0.757575035,36,35,36,1197.28455,1197.28455,1.7031101,0.239447013,0.002678646,99.7737045,25.0649033,1.97468185,5.903591,35,41.52103
01/17/2022 05:11:31,0,1.53846145,0.7692337,36,36,36,1197.28467,1197.28467,1.72017074,0.25216502,0.002731851,99.77372,25.0157089,1.97080612,5.907467,34,41.5210228
01/17/2022 05:16:30,0,1.5625,0.78125,38,38,38,1197.28467,1197.28467,1.78400958,0.296330065,0.00272381888,99.77373,25.1657639,1.98262787,5.895645,35,41.52108
01/17/2022 05:21:31,0,1.49253607,0.746268034,38,38,39,1197.28442,1197.28442,1.72634947,0.2567491,0.00249627372,99.7737045,25.0404053,1.97275162,5.90552139,35,41.52109
01/17/2022 05:26:31,5.420673,8.49905,6.95986176,34,36,40,1197.29944,1197.29944,3.7596314,1.99918592,0.00238935743,99.7749557,25.8458328,2.03620529,5.84206772,38,41.5211258
01/17/2022 05:31:31,0,1.49253607,0.746268034,36,36,37,1197.28467,1197.28467,1.76528668,0.2878827,0.00260349619,99.77372,24.95504,1.96602631,5.9122467,40,41.5211525
01/17/2022 05:36:31,0,1.51515007,0.757575035,36,36,37,1197.28467,1197.28467,1.71494675,0.249120429,0.00261746743,99.77373,24.7116318,1.94684982,5.931423,41,41.5211678
01/17/2022 05:41:31,0,2.34375,1.171875,35,35,36,1197.28442,1197.28442,1.70446289,0.235150933,0.002548028,99.7737045,24.6538162,1.94229507,5.935978,37,41.5211945
01/17/2022 05:46:31,0,1.53846145,0.7692337,37,37,38,1197.28442,1197.28442,1.69821227,0.235551924,0.00267399522,99.7737045,24.9639053,1.9667244,5.91154861,36,41.5212173
01/17/2022 05:51:31,0,1.51515007,0.757575035,38,38,39,1197.28455,1197.28455,1.73325527,0.260163635,0.002618948,99.77371,24.8236771,1.955677,5.922596,36,41.52133
01/17/2022 05:56:31,12.8119411,12.878788,12.8453617,40,40,40,1197.28455,1197.28455,6.0579443,4.34370756,0.002670312,99.77372,24.809494,1.95455933,5.92371368,36,41.5205231
01/17/2022 06:01:31,0,1.53846145,0.7692337,39,39,39,1197.28455,1197.28455,1.7858963,0.306017339,0.00267894985,99.77371,24.7594681,1.95061874,5.92765427,36,41.52069
01/17/2022 06:06:32,0,1.53846145,0.7692337,40,40,40,1197.28479,1197.28479,1.70946693,0.231323615,0.00265735644,99.77373,24.7214584,1.94762421,5.930649,36,41.5207138
