,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
03/01/2022 00:00:04,7.03125,7.03125,7.03125,38,38,39,1197.28467,1197.28467,2.47611141,0.820640266,0.00149055221,99.77372,49.14247,3.87157822,4.006695,35,43.47746
03/01/2022 00:00:34,1.53846145,3.8461566,2.692306,37,37,40,1197.2843,2195.02124,2.50138545,0.851619244,0.0014724019,99.7737,49.2282257,3.878334,3.999939,35,43.47746
03/01/2022 00:00:49,9.33894,10.15625,9.747595,40,40,40,1197.28467,1197.28467,2.90712428,1.17170918,0.009613304,99.77372,49.7028923,3.91572952,3.96254349,35,43.47746
03/01/2022 00:01:00,39.0625,31.5104122,35.2864571,41,41,45,1197.28455,1197.28455,8.671415,6.29942846,0.203518882,99.77371,49.568573,3.90514755,3.97312546,35,43.47746
03/01/2022 00:01:10,6.27480125,4.6875,5.481148,40,40,41,1197.28516,1197.28516,2.856099,1.1416949,0.00204473571,99.7737656,49.6387367,3.910675,3.967598,35,43.47746
03/01/2022 00:01:20,8.4615345,7.69230747,8.076918,42,40,46,2993.21265,2993.21265,3.48347735,1.75173759,0.002449016,99.77376,49.67931,3.91387177,3.96440125,36,43.4775
03/01/2022 00:01:30,4.6875,3.90625,4.296875,41,41,41,1197.28467,1197.28467,2.48677373,0.81238395,0.00334169948,99.77373,49.6727257,3.913353,3.96492,36,43.4775
03/01/2022 00:01:40,5.420673,5.32634258,5.373502,41,41,41,1197.28455,1197.28455,2.43721032,0.7622977,0.0017878795,99.77371,49.6597977,3.91233444,3.96593857,36,43.4775
03/01/2022 00:01:50,6.107223,4.592073,5.349648,40,40,41,1197.28467,1197.28467,2.428507,0.782974,0.001938166,99.77373,49.5280457,3.90195465,3.97631836,36,43.4775
03/01/2022 00:02:00,4.724705,11.0615072,7.89310932,41,41,42,1197.28455,1197.28455,4.007796,2.13197637,0.00265510916,99.77371,49.5535164,3.90396118,3.97431183,36,43.4775
03/01/2022 00:02:10,2.30768919,3.8461566,3.076923,38,39,41,1197.28455,1197.28455,2.60755467,0.9149196,0.00156255264,99.77372,49.51434,3.900875,3.977398,36,43.4775
03/01/2022 00:02:20,4.569459,6.084961,5.327213,41,41,42,1197.28467,1197.28467,2.43249226,0.7698509,0.00177129055,99.77373,49.45382,3.89610672,3.98216629,37,43.4775047
03/01/2022 00:02:30,7.03125,10.15625,8.59375,41,41,42,1197.28467,1197.28467,2.58795428,0.939434648,0.00153596816,99.77373,49.5768051,3.905796,3.972477,37,43.4775047
03/01/2022 00:02:40,3.8461566,6.153846,5.000001,40,40,41,1197.28467,1197.28467,2.40074754,0.7605868,0.00130705663,99.77372,49.54538,3.90332031,3.9749527,37,43.4775047
03/01/2022 00:02:50,6.153846,9.070033,7.61194229,40,40,40,1197.28467,1197.28467,2.3659637,0.731156647,0.00159257383,99.77373,49.506012,3.900219,3.978054,37,43.4767036
03/01/2022 00:03:00,6.20265,11.71875,8.9607,40,40,41,1197.28418,1197.28418,3.754581,1.92480016,0.001480146,99.77368,49.4104347,3.89268875,3.98558426,37,43.4767036
03/01/2022 00:03:10,5.420673,3.834498,4.62758541,38,38,39,1197.285,1197.285,2.32752681,0.7119159,0.00124729413,99.77375,49.46084,3.89665985,3.98161316,37,43.4767036
03/01/2022 00:03:20,3.8461566,6.153846,5.000007,38,38,39,1197.28491,1197.28491,2.48353982,0.836130142,0.00129210961,99.77374,49.4403534,3.89504623,3.98322678,38,43.4767036
