,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
02/25/2022 00:00:03,2.28438377,4.58042049,3.432399,31,32,37,1197.28369,2195.02,2.44737267,0.807840466,0.001280708,99.77364,48.0326729,3.78414536,4.09412766,34,43.4926872
02/25/2022 00:05:03,5.350375,6.983173,6.166774,36,32,36,1197.28528,1197.28528,2.49116969,0.8500308,0.00117692573,99.77377,48.20021,3.79734421,4.080929,38,43.49271
02/25/2022 00:10:03,6.772953,3.78787518,5.28041744,35,37,37,1197.28467,1197.28467,2.53014731,0.8792499,0.00142010138,99.77372,48.2490654,3.80119324,4.07708,41,43.49271
02/25/2022 00:15:03,6.060606,5.32634258,5.69347143,36,36,37,1197.28455,1197.28455,2.41570616,0.794932067,0.00125735381,99.7737045,47.6838074,3.75666046,4.12161255,43,43.4927254
02/25/2022 00:20:02,4.6875,7.13205338,5.90977669,37,37,37,1197.28467,1197.28467,2.618285,0.9640097,0.00126538135,99.77372,47.9421768,3.77701569,4.10125732,44,43.4927254
02/25/2022 00:25:02,7.03125,3.90625,5.46875,36,36,37,1197.28516,1197.28516,2.437817,0.7945268,0.00129570579,99.77376,48.06565,3.78674316,4.09153,44,43.49271
02/25/2022 00:30:02,4.6875,2.34375,3.515625,38,38,38,1197.28467,1197.28467,2.41948318,0.7816698,0.001282452,99.77373,47.87836,3.771988,4.106285,45,43.49271
02/25/2022 00:35:02,6.25,7.88810253,7.06905127,32,32,38,1197.28442,1197.28442,2.36065674,0.75275135,0.00128712109,99.7737,48.0104,3.78239059,4.09588242,45,43.49281
02/25/2022 00:40:02,4.6875,7.03125,5.859375,30,33,36,1197.28455,1197.28455,2.45315,0.8094252,0.0012748288,99.77371,47.9929237,3.78101349,4.09725952,46,43.4928246
02/25/2022 00:45:02,7.69230747,7.728362,7.71033764,36,36,36,1197.28455,1197.28455,2.445908,0.8050562,0.00141227385,99.7737045,47.8784561,3.77199554,4.10627747,46,43.492836
02/25/2022 00:50:02,3.8589,4.66346169,4.26118374,31,32,36,1197.28442,1197.28442,2.47096872,0.8308535,0.00129704038,99.7737,47.9354,3.77648163,4.10179138,46,43.492836
02/25/2022 00:55:02,9.149181,8.392656,8.770919,31,32,37,1197.2843,1197.2843,2.69483,0.994148135,0.0015892809,99.7737,47.9129333,3.77471161,4.1035614,46,43.49285
02/25/2022 01:00:02,4.569459,10.76923,7.669348,37,37,37,1197.28455,1197.28455,2.43726587,0.796526849,0.00128798175,99.77371,47.7676239,3.7632637,4.11500931,46,43.4928665
02/25/2022 01:05:02,7.8125,6.25,7.03125,33,37,38,1197.28442,1197.28442,2.504979,0.8415311,0.00144222565,99.7737045,47.8381233,3.768818,4.109455,46,43.49288
02/25/2022 01:10:02,7.862103,7.080853,7.471478,30,32,38,1197.28479,1197.28479,2.5150423,0.8693486,0.00129701139,99.77373,47.9244041,3.77561569,4.10265732,46,43.49288
02/25/2022 01:15:03,2.34375,3.125,2.734375,37,37,37,1197.28467,1197.28467,2.68581915,1.02297378,0.00144964142,99.77372,47.98406,3.7803154,4.09795761,46,43.492897
02/25/2022 01:20:03,1.5625,3.93105149,2.74677277,34,34,35,1197.28442,1197.28442,1.87563455,0.3934551,0.000775715569,99.7737,48.02062,3.7831955,4.09507751,46,43.49291
02/25/2022 01:25:03,2.3317337,3.8461566,3.08893919,36,36,37,1197.28467,1197.28467,2.10822845,0.5833656,0.000898360857,99.77372,47.9333153,3.7763176,4.10195541,44,43.4929466
02/25/2022 01:30:03,1.49253607,2.974105,2.23332047,38,38,38,1197.28442,1197.28442,1.849166,0.370142072,0.00085960963,99.7737045,47.76646,3.76317215,4.115101,44,43.4929466
02/25/2022 01:35:03,0.7692337,2.30768919,1.53846741,39,39,40,1197.2843,1197.2843,1.99909294,0.5001855,0.0010136544,99.77369,48.0286064,3.783825,4.094448,45,43.4929581
02/25/2022 01:40:02,2.30768919,3.8461566,3.076923,40,40,41,1197.28467,1197.28467,1.95447433,0.439992934,0.000841286732,99.77372,47.926342,3.77576828,4.10250473,45,43.4930458
02/25/2022 01:45:03,1.5625,3.13739777,2.349949,40,40,41,1197.28467,1197.28467,1.95948744,0.440835834,0.000930677168,99.77373,47.67543,3.75600052,4.12227249,46,43.49306
02/25/2022 01:50:03,0.746268034,2.23881,1.49253607,40,40,41,1197.285,1197.285,2.02599478,0.512380958,0.00104020385,99.77375,47.7093277,3.75867081,4.119602,46,43.4930649
02/25/2022 01:55:02,0.7692337,1.53846145,1.15385056,40,40,41,1197.28491,1197.28491,1.98513043,0.491323471,0.000860487868,99.773735,47.7783241,3.76410675,4.11416626,46,43.4930763
02/25/2022 02:00:03,1.52680874,3.03030014,2.27855444,40,40,41,1197.28479,1197.28479,1.95673776,0.441279918,0.00106023066,99.773735,47.7498055,3.76186,4.116413,46,43.4930954
02/25/2022 02:05:03,1.53846145,3.076923,2.30769515,39,41,44,2195.02173,1197.28455,1.85813177,0.3646275,0.000890059047,99.77371,47.80815,3.7664566,4.11181641,47,43.4931068
02/25/2022 02:10:03,1.538825,3.13739777,2.3381114,42,42,42,1197.285,1197.285,1.93178332,0.414859027,0.00112477352,99.77375,47.79256,3.76522827,4.11304474,47,43.4931068
02/25/2022 02:15:04,1.53846145,2.30768919,1.9230783,38,38,39,1197.28491,1197.28491,1.94387925,0.4507745,0.00102923368,99.773735,47.73581,3.76075745,4.11751556,47,43.49312
02/25/2022 02:20:04,1.5625,3.125,2.34375,36,36,37,1197.28467,1197.28467,1.97769237,0.471795678,0.000828981,99.77373,48.0626945,3.78651047,4.09176254,44,43.49314
02/25/2022 02:25:04,1.5625,3.1129837,2.33774185,36,36,37,1197.28467,1197.28467,1.96465743,0.464557022,0.0008965349,99.77373,48.0747528,3.78746033,4.09081268,41,43.49314
02/25/2022 02:30:04,1.53846145,2.30768919,1.9230783,35,35,35,1197.28528,1197.28528,1.80661941,0.338570237,0.00105160032,99.77377,47.9252319,3.77568054,4.10259247,38,43.49313
02/25/2022 02:35:04,1.52680874,3.076923,2.30186582,38,38,38,1197.28455,1197.28455,1.85671854,0.368449748,0.0008930097,99.77371,48.0622139,3.78647232,4.09180069,37,43.4931526
02/25/2022 02:40:03,2.33211517,3.076923,2.704519,39,39,40,1197.28467,1197.28467,1.911948,0.4191845,0.0008823363,99.77372,47.9921,3.78094864,4.09732437,37,43.493248
02/25/2022 02:45:03,1.57489777,2.3317337,1.95331573,39,39,39,1197.28467,1197.28467,1.90930748,0.414681047,0.00091794366,99.77372,48.00876,3.782261,4.096012,36,43.4932632
02/25/2022 02:50:03,0.78125,2.34375,1.5625,35,35,36,1197.28479,1197.28479,1.87783968,0.402153045,0.0008973236,99.773735,47.886158,3.772602,4.105671,36,43.4932632
02/25/2022 02:55:03,1.5625,3.125,2.34375,37,37,38,1197.28442,1197.28442,1.92988908,0.433521569,0.0009082048,99.7737,47.94213,3.77701187,4.101261,35,43.4932747
02/25/2022 03:00:03,1.52680874,3.06526423,2.29603648,40,40,40,1197.28442,1197.28442,1.84592366,0.356447071,0.000900611631,99.7737045,47.9254265,3.7756958,4.102577,35,43.4933968
02/25/2022 03:05:04,1.57489777,3.91864777,2.74677277,40,40,40,1197.28455,1197.28455,1.93494987,0.426338941,0.000915021345,99.77372,47.99665,3.78130722,4.096966,35,43.49341
02/25/2022 03:10:04,1.58730149,3.8942337,2.74076462,40,40,41,1197.28418,1197.28418,1.89393449,0.392913342,0.0008704936,99.77368,48.05122,3.78560638,4.09266663,35,43.49341
02/25/2022 03:15:04,2.29603648,3.87057066,3.08330059,40,40,40,1197.28455,1197.28455,1.88025117,0.382323951,0.000900963671,99.77371,47.9192276,3.77520752,4.10306549,35,43.49342
02/25/2022 03:20:04,0.78125,3.125,1.953125,40,40,41,1197.28442,1197.28442,2.029774,0.521523654,0.0009024753,99.7737,48.06086,3.78636551,4.0919075,36,43.493454
02/25/2022 03:25:04,0.746268034,2.272725,1.50949955,40,40,41,1197.28467,1197.28467,1.86959672,0.3739431,0.0008903053,99.77372,48.11596,3.79070663,4.08756638,36,43.4934654
02/25/2022 03:30:04,1.50384307,3.018999,2.261424,42,42,42,1197.28442,1197.28442,1.84767723,0.3543247,0.0008819532,99.7737,47.9441147,3.77716827,4.10110474,36,43.4934731
02/25/2022 03:35:04,1.51549578,3.00768614,2.261591,42,42,42,1197.28381,1197.28381,1.84429765,0.347778827,0.0008599007,99.77365,48.066864,3.78683853,4.09143448,36,43.493576
